Protein.Names	DMSO_01	DMSO_02	DMSO_03	DMSO_04	DMSO_05	DMSO_06	DMSO_07	DMSO_08	DMSO_09	DMSO_10	DMSO_11	DMSO_12	IHK44_100nM_01	IHK44_100nM_02	IHK44_100nM_03	IHK44_100nM_04	IHK44_100nM_05	IHK44_100nM_06	IHK44_125nM_01	IHK44_125nM_02	IHK44_125nM_03	IHK44_125nM_04	IHK44_125nM_05	IHK44_125nM_06	IHK44_150nM_01	IHK44_150nM_02	IHK44_150nM_03	IHK44_150nM_04	IHK44_150nM_05	IHK44_150nM_06
MEIS1_HUMAN	18008.1	18266.9	18506.4	17692.5	18920	20813.9	18423.7	17518.8	18455.9	17464.6	16783.7	14005	16980.1	16425	15595.6	14124.4	18186	17982.3	17866.7	17785	13124	12844.2	11604.4	12964.6	15350	17358.9	16150.9	13814.1	15979.8	15597.3
MELK_HUMAN	13349.9	13876.8	15625.1	16166.9	14462.8	13500	14063.6	14260.8	15815.9	13319.8	14677.6	13985.7	12455.5	16104.4	14291.8	14836.9	14200.9	15925.4	14064.5	13942.8	13558.3	14736.3	15306.3	17038	13672.5	13174.8	15954.4	14451.9	12985	14496.5
MEN1_HUMAN	40810.7	40320.4	40670.8	40500.1	39958.8	41731.9	39168.9	38832.9	42945.2	41765.4	43409.6	40283	37356.6	41194.8	39730.8	43561.7	40873.5	38779.3	36230.8	44622.9	37135.4	40613.9	40302.5	37478.7	41516.1	40233.8	40498.9	39988.5	44580.6	42672.1
MEOX1_HUMAN	60334.2	64968.5	54381.3	61556.4	51921.2	58868.3	68795.3	51780.6	57073.4	52841.3	51227.7	55280.8	29878.3	32942.1	25122.8	37854.4	30966.1	28410	31618.8	26765	21095.3	31274.5	28674.6	29120.2	30713.3	38244.2	42322.5	33114.9	32960.1	34758
MEOX2_HUMAN	7306.62	6689.77	10220.4	6777.63	9264.87	5243.99	6716.94	13844.3	8006	8975.98	14025.5	15853.2	7878.53	8700.22	8712.91	3342.74	6837.42	9146.36	5799.74	4989.52	10257.5	9309.58	12141.6	14035.4	4760.12	3665.71	4349.31	11474.4	4438.57	4051.98
MEP50_HUMAN	76897.6	76414.6	69899.3	73377.5	67834.8	73995.6	76855.9	73363.2	70329.7	65588.4	60023.8	61179.7	82168	72487.6	68920.3	70656.5	85307.6	71207.1	82610.3	73644.8	57535	62737.2	64712	59526.1	78221.1	88006.5	81707.2	66957.1	78019.4	75324
MEPCE_HUMAN	68310.5	66752.6	63339.8	67180.3	69787.5	66107.1	65039.6	61509.1	64845.6	65369.4	61728.9	56998.7	71436.4	73743.4	72103	72755.2	72179.5	68481.7	74033.9	65874.8	66764.2	64428	70579.2	68014.3	72410.5	70466.9	69493.6	71836.9	70671.3	70526.6
MERL_HUMAN	14704.1	13420.2	13753.3	13332.6	14578.8	14822.3	14065.2	15764.5	14111.5	12217.1	14656.6	14056	15694.2	15582.9	14423.9	15634.7	14262.5	15151.3	15359.2	15056.7	13642.8	15881.2	17052	15201.1	14607.1	15231.3	15718	16493.4	15222.9	15524.6
MESD_HUMAN	79698.5	74994.7	57947.9	81599.7	67782.5	60145.1	83079.5	55514.3	81157.3	69401	66532.1	69921.1	72282.5	59182.9	80622.1	75370.4	66220.1	60073.7	69629.4	44193.6	61778.4	56268.3	63057.2	71968.3	63313.9	93118.6	72362.2	65209.8	47419.9	61049.2
MEST_HUMAN	358564	402773	403084	342424	403000	335033	352850	393693	403282	382278	431152	437403	374318	398193	434226	355947	371051	402962	354291	409646	392504	449077	400061	375503	359094	347647	354211	422908	372347	349756
MET14_HUMAN	14594.8	13344.9	12332.2	13420.8	11797.7	13134.1	13768.7	10883.1	13236	11290.7	12821.2	10032.3	12415.6	12106.1	10098.6	12999.7	13755.2	12740.8	13944.2	12228.3	8363.68	10837.3	13545.4	8961.1	15658.6	15023.6	11417.7	13326	13499.5	11594.2
MET15_HUMAN	13058.5	10064.5	14056.3	11997.1	12617.7	11560	10034.4	10181.8	11859.9	12133.4	12694	11979.9	13528.4	11832.2	14021.4	12320.3	12737.6	12213.5	12327.6	12683.5	10062.8	12360.8	12823.7	10437.6	12492.9	10737.4	9600.68	11597.7	12551.9	13309.5
MET16_HUMAN	10585.5	7740.93	8926.45	8305.46	10653	7091.71	15578.2	7737.54	8296.61	7317.68	7882.45	8203.04	8438.78	9250.02	9687.86	7537.33	6987.66	5725.49	9877.13	6362.32	10221.4	8535.14	7646.46	10980.2	8500.1	8059.71	5049.73	12482.9	8247.51	6387.12
MET17_HUMAN	13020.9	16552.6	19125.2	18765	18412.6	17042.8	18276.3	14758.2	17868.4	17722.4	18268.1	15259.8	16485.9	17474	16355.5	14780.2	17745.1	15629.1	16393.1	20936.5	14651.1	17434.9	18055.6	13928.2	18221.4	16506.4	16872.1	17726.1	18924.8	18431.2
MET2B_HUMAN	2516.48	2325.06	1789.41	2411.97	NA	1558.57	3644.27	1903.49	1590.58	1413.56	1590.39	783.451	2469.24	2120.12	2131.09	3100.51	2758.71	NA	2637.46	1686.11	NA	2072.41	2942.6	3255.58	3043.58	3008.83	3169.64	1654.4	2952.91	1467.44
METK2_HUMAN	13039.3	12237.9	16353.4	13222.2	12236.9	9281.53	13879.1	13252.4	12049.9	12293.8	11532.9	15282.4	15578.5	16584.6	14058.7	10319.6	14692.1	11044.8	14396.6	10978.6	14471	11790.9	9982.5	11956	16084.9	17114.4	11080.3	16530.1	10742.7	12784.4
METL8_HUMAN	4650.36	4886.15	6065.15	5926.81	6691.92	5381.17	3973.2	5861.95	5308.42	5305.26	7705.83	6606.02	6837.71	4549.95	6252.25	5114.16	5751.36	5201.82	4208.2	6827	7019.08	6418.98	5405.4	6168.45	6083.61	4338.57	5923.51	5263.66	6377.39	6174.36
