Protein.Names	DMSO_01	DMSO_02	DMSO_03	DMSO_04	DMSO_05	DMSO_06	DMSO_07	DMSO_08	DMSO_09	DMSO_10	DMSO_11	DMSO_12	IHK44_100nM_01	IHK44_100nM_02	IHK44_100nM_03	IHK44_100nM_04	IHK44_100nM_05	IHK44_100nM_06	IHK44_125nM_01	IHK44_125nM_02	IHK44_125nM_03	IHK44_125nM_04	IHK44_125nM_05	IHK44_125nM_06	IHK44_150nM_01	IHK44_150nM_02	IHK44_150nM_03	IHK44_150nM_04	IHK44_150nM_05	IHK44_150nM_06
CWC25_HUMAN	2286590	2226260	2065710	2160110	2124330	2280540	2275910	2167480	2058080	2038070	1942870	2001060	2353070	2184460	2140920	2173750	2259190	2107100	2392000	2117540	1923480	2109150	2146430	2061380	2265750	2754060	2218150	2067460	2336450	2253870
CWC27_HUMAN	54582.4	57377.7	53394.5	75786.2	80374.8	71245	72279.5	66066.8	86428.8	73495.4	73224.1	84544.3	62499.7	61262.9	59105.4	84040.9	70918.9	72697	63488.7	70981.6	67139.9	85014.2	86231.3	75391	52583.4	64016.9	91807.7	75856.4	64141.9	79678.9
CX6A1_HUMAN	21971.3	14961.8	17989.2	14175.9	14180	16983.6	18403.5	23515.8	23408.4	23643.8	14221.1	26247.1	14374	15735	20619.2	13339.7	24505	14715.4	16052.7	16581.7	16638.9	24255.2	18315.8	17515.6	21112	17659.7	18840.8	18908.9	16854.8	20881.9
CX6B1_HUMAN	6240.91	4863.91	6479.17	6016.56	5308.06	4614.06	7217.71	6833.21	5145.06	5876.77	4057.44	7704.13	4698.6	6500.21	6343.34	3813.77	4966.1	6318.84	5299.84	5649.07	6233.55	4848.01	4367.13	5293.47	5248.97	4664.99	5581.03	7164.67	6350.08	5690.48
CX7A2_HUMAN	65103.7	42926	34645.4	42539.5	30669.7	65637.1	48719.7	62481.9	63051.8	42033.1	40205.2	51190	42822.2	53268.1	65262.2	57939.5	46013.8	51442.5	45411	54675.3	51883.1	51543.4	49730.2	52970.6	62996.9	66865.8	39321.7	52926.3	45594.7	44566.4
CXG1_HUMAN	3669.75	3303.13	2647.27	3472.7	2282.76	1966.13	3063.05	4317.47	3665.65	4321.15	1988.95	3667.4	4120.74	4024	2615.37	2887.41	3619.1	2771.96	3038.02	3352.14	4048.34	3270.98	2693.8	4197.24	3735.48	4018.42	3255.08	4051.47	3199.29	2340.21
CXXC1_HUMAN	49364.8	52194.6	47774.4	50061.9	49006.7	53817.4	48479.1	52734.3	51857	51361.1	49242.6	51290.3	47992.9	49779.7	47138.2	51410.5	54105.5	50457.2	52943.1	53023.5	48743.3	51842.7	51099.2	49968.3	52722.2	50049.1	51141.4	50682.3	52104.2	50488.9
CXXC5_HUMAN	71453.8	68044.2	58597.6	59931.5	65661.2	63138.9	70759.1	69195.6	61863.8	66920	59956.2	58436.3	44331.1	46351.7	44952.7	47390.8	38657.4	42991.1	43907.7	30695.4	47326	45855.5	44764.8	49007.2	39418.3	49406.5	42403.5	46990	34930.4	41907.4
CY1_HUMAN	105260	85389	98249.5	76612.3	67586.4	83277.2	89310	104299	97263	87020.5	59779	97802.3	81360.1	86643.2	96092.8	75785.4	89276.8	76411.3	87074.2	90262.1	78065.1	89486.3	74843	72457.8	104764	96629	87804.6	83824.8	80387.9	90976.8
CYB5B_HUMAN	33009.8	21685.1	29141	32408	20884.6	22696.7	28206.9	16438.4	28627.2	23464.6	19345.6	20850.9	26799.4	23433.6	18174.2	20383.2	26357.3	18206.7	26224.8	23122.3	15629.3	13789.8	15739.9	12517	36425.5	33818.2	22645.6	28658.4	17895.6	26550.3
CYB5_HUMAN	2737.18	NA	2261.6	3337.36	NA	2588.61	1498.14	2792.01	1908.92	1090.33	1587.01	1429.03	2437.16	1805.43	1069.47	2335.23	3459.06	2102.16	2526.57	3254.95	NA	2083.26	1431.28	1204.22	3341.19	2882.83	2324.81	1700.17	NA	1786.52
CYBC1_HUMAN	10071.1	10139.9	7413.77	8501.38	7422.45	8438.27	9025.29	5625.06	11160.5	9644.29	5317.76	9128.4	9520.17	9875.9	7352.27	7462.98	7880.98	6497.48	8272.89	8791.98	6069.62	8155.86	6257.74	6896.45	12200.8	8656.36	7435.8	9486.15	5574.68	11382.1
CYBP_HUMAN	125346	126340	115078	118058	126650	100144	140020	93149.4	114548	113687	135022	123439	131250	105584	144255	121329	113523	105332	104973	94072	121643	99385.4	133872	129198	108840	158296	112713	108175	87276.9	108746
CYBR1_HUMAN	33529	27766.2	26225.4	30588.9	24409.6	30688.7	35373.8	28746.8	38777.7	30461.4	23221.4	29188.2	22423.8	21533.3	23775.5	29667.5	34579.3	30467	27556.5	29145.1	29272.3	17117.6	26438.4	27858.2	34142.3	30163.9	32908.6	29900.2	31526.6	36460.4
CYC_HUMAN	350849	367171	363106	319162	294876	158262	185563	93441.1	49250.1	98431.4	70178	71534.8	426399	368747	304302	166203	140324	116080	446786	106299	88750.1	62251.8	89447.6	71204.5	312921	452311	230067	335681	126192	81388.7
CYFP1_HUMAN	90759	86940.5	88626.7	93002.6	86616.4	91171.2	94519.3	85875.5	96056	85704.3	86609.5	83550.9	88891	83940.1	90521.4	97288	94225	84399.5	86816.9	86850.1	76982.7	86794.6	83723.4	72801.7	86213.1	88267	93548.9	82029.9	94568	89469.4
CYFP2_HUMAN	7058.52	12784	9885.48	8952.51	11845.6	8372.53	9188.79	10705.1	10173.8	11511.8	12013	13818.8	11240.4	10315.8	12878.2	11157.9	8451.26	11871.8	7505.49	9200.29	7206.13	13568.6	14335.1	12729.1	9288.76	9167.37	9788.79	10756.2	9327.71	10531.8
CYH1_HUMAN;CYH2_HUMAN;CYH3_HUMAN	7528.94	7730.82	9217.99	10640.1	10956.2	8649.01	9712.03	11153	9117.95	9996.25	9965.34	9638.74	10517.6	11335.5	9304.73	7316.35	8667.66	10239.9	9595.31	8790.93	9025.57	8207.57	10273.6	11056.2	9010.91	10094.2	9228.6	8757.66	6878.81	11027.1
CYTSA_HUMAN	25611.2	22611.7	23267.5	25048.5	24231.6	23451	23719.4	23955.6	25529	24883	25994.6	24637	22699.3	24858.9	22811.6	26982.1	21782.3	22482.8	21503.6	21532.5	23495.9	24736.6	23449.5	24007.3	24135.2	25295.8	26602.3	24893.5	22268.7	25409.5
D11L8_HUMAN;DDX11_HUMAN;DDX12_HUMAN	1754.89	1352.66	1738.4	1168.06	2407.2	NA	1800.6	2299.66	1198.31	1661.26	1057.95	2245.99	NA	1392.92	1580.45	NA	1827.75	2210.77	1815.18	1247.02	1424.43	2079.99	964.367	2630.64	NA	1909.64	1447.14	1490.2	NA	1497.16
D19L1_HUMAN	43854.7	47973.1	36967.3	38508.9	40474.9	42209.1	41042.5	42003	46605	40616.8	36435	45009	38100.1	37813.1	37012	44270.1	45845.2	36516.6	41184.1	38348.3	28320.3	47976.9	34175.6	31892.2	46641.5	45959.4	48678.4	42009.8	48612.2	43996
D19L3_HUMAN	9416.18	9715.7	10052.8	6038.5	7122.09	7206.03	9137.7	7781.36	11122.1	7149.01	6542.81	8399.94	8327.3	8729.12	8412.58	12283.4	11106	10365.3	8884.15	8493.22	10187.4	8602.5	6778.97	10110.5	10401	12584.1	5371.89	7762.33	11972.6	10856.7
DAA10_HUMAN	42968.8	42126.3	43375.1	46523.6	44802.5	42250.9	46025.4	41523.6	45730.2	41266.2	39244.5	43284.9	47208.5	45852.5	47107.6	44270.8	43913.1	48945.6	46278.6	44567.8	45330.5	46693	45325.1	44485.4	39418.5	44070.1	44762.4	43365	43271	42285.8
DAAF5_HUMAN	4892.59	3978.19	4329.55	4377.78	3905.24	2942.68	4186.01	4271.2	3853.61	4334.85	3247.47	4424.33	3665.09	4303.36	4044.2	4051.65	3443.06	3230.95	3587.51	3576.39	2294.8	3447.41	2655.29	3207.12	4251.29	5096.38	2735.5	3967.51	3735.5	3597.23
DAB2P_HUMAN	5396.88	4892.01	4414.62	5575.3	4652.53	4301.4	3726.28	3692.23	4240.44	5584.52	4377.61	3853.39	4269.16	4145.48	3892.93	3747.08	4421.97	4352.99	3703.22	3383	4148.96	4389.86	4662.91	4939.4	3671.74	3170.64	3073.79	3184.4	3858.02	4185.03
DAB2_HUMAN	3722.04	2876.82	3992.98	3605.56	4327.87	3465.03	3046.81	3518.38	2602.43	3554.09	4031.87	4307.62	3767.67	3470.69	3772.91	2759.48	2267.31	2871.13	3464.8	2257.62	4096.49	3458.54	2724.74	4726.72	4274.31	3394.46	3603.53	3749.22	2721.11	2356.96
DAD1_HUMAN	33842.4	35002.6	29439.1	43278.6	45610.6	45201.3	46427.8	41544.1	68514	48512.5	41788.4	51475.3	29581.4	31600.5	26780.5	63265.6	42582	41668.8	28578	44705	25843.1	55663.1	38712.2	30940.2	28838.3	31860.3	60838.5	34069.4	42779.1	58260.4
DAG1_HUMAN	7734.73	8505.94	6559.8	7411.28	7730.56	8743.99	7674.73	6026.13	5936.55	7001.31	6315.08	5976.33	4409.3	6867.55	4179.86	5443.93	7077.37	5037.22	5281.47	6391.67	4563.08	5360.88	4703.7	2651.16	7494.52	7608.61	5320.69	6530.48	4975.85	6067.49
DAPK1_HUMAN	50353.8	49131.3	52933.9	48657.9	51288.9	52132.2	46598.8	49146.2	52333.8	50651.9	56042.8	48602.3	43708.4	45241	47294	45788.2	42239.9	45099.7	41951	44872.1	47811.7	46046	46196.1	47443.4	46286.5	39368.7	44168	45959.6	47040.5	47137.1
DAPK3_HUMAN	27943.7	27350.9	24854.1	26681	27738.5	25614.6	22105.1	25045.7	24917.5	25862.1	27872.6	26613.7	22251	26062.2	22678.6	28069.1	28092.8	25218.6	25307.4	26339.9	20875	25510.5	22500.5	27065.9	27435.5	26876.2	29718.3	25660.8	26944.5	25728.2
DAXX_HUMAN	34915.1	41078.9	34695.8	35662.1	34577.1	35388.6	36553.4	38694.3	33803	37501.3	37747.3	35910.2	35587.2	34486	34224	34009.4	33720	39944.8	36481.1	32746.7	37379.6	38548.9	34891.9	38909.2	34958.7	36203.4	32671.3	36512.9	34209.5	38055
DAZP1_HUMAN	252594	258541	276872	188452	215282	175341	196567	153510	87860.7	153412	157009	143680	294165	279635	250864	108742	175315	157402	241675	143288	174903	111581	183365	150916	231654	277798	144974	250715	108113	132038
DBF4A_HUMAN	2733.1	2528.99	3337.89	2887.24	4078.58	3575.11	3426.96	3795.93	2502.26	3018.53	3549.7	3812.19	3587.8	4735.52	3653.25	2783.58	3114.15	3375.87	2404.83	2898.39	4126.62	4246.66	3397.39	5305.07	3270.72	2786	2833.39	3123.87	4077.61	2518.17
DBNL_HUMAN	47839.8	45801.7	43826.1	56776.9	53231.2	50003.7	54357.5	46383.9	46800.3	49915.4	51361.1	53011.5	45606.9	42724.7	41950.9	51165.5	48018.6	48199.5	47699.7	44947.4	42286.6	45860.8	49958.6	44163.2	42326.6	51002	62420.3	52098.9	43974.8	54033.9
DBR1_HUMAN	65120.8	67427.3	66679.6	69191.7	67965.5	63520	71540.2	64200.5	62845.9	64498.4	62953.6	62296.2	70987.5	63487.9	76929.5	67326.1	72530.1	67040.9	67056.7	64119.3	70329.4	63616.9	63114.2	60150.5	60867.4	69266.8	58136.8	54651.9	62658.1	60654.5
DC1I2_HUMAN	32432.3	31637.2	31606.6	31734.8	32305.7	34736.1	38193.6	31390.3	34139.6	34734.9	31676.7	34073.3	35501.6	33692.4	28800.4	32155.5	35307.6	34653.9	36156.3	33586.9	31217.6	30061.5	32379.9	37531.5	34097.4	36607	35512.3	29776.9	33687.6	34248.2
DC1L1_HUMAN	26049.3	21965.9	23621.2	24628.9	20953.2	24031.3	26829	21152.5	23220.1	23759.9	21416.2	20098.6	25207.8	22950.9	22781.7	26903.1	22974.6	22734	26346.9	24081.9	20265.1	23224.2	21935.2	23328.7	25171.5	25358.8	25958.9	18904.8	25069.2	25874.5
DC1L2_HUMAN	40632	36858.7	36009.2	39543.8	35385.8	37049.6	41624.3	35230.6	38752.8	38224	36280.8	31045.8	40765.3	36469.9	36749.2	43859.7	34392.1	33644.8	38807.6	34342.9	32455.4	34175.7	37174.9	36205.7	36041.4	42804.6	42409.4	35467	40244.1	38950.7
DC2I1_HUMAN	3516.15	3374.93	3796.77	2886.21	4189.68	4373.31	3383.65	2944.97	3655.47	4593.29	3752.61	4305.01	5857.67	4003.93	3742.83	4347.86	4194.87	3292.67	3589.04	3846.84	3358.52	4640.03	4345.44	4366.27	3499.91	3727.57	3762.65	3583.92	3768.94	4061.32
DCA11_HUMAN	1998.81	1648.79	1836.69	2193.38	1520.6	2469.87	2944.17	1871.68	1802.89	2412.4	1744.65	1785.92	1846.43	1754.86	1617.16	2106.57	1540.5	2069.64	1736.09	1759.54	1765.08	1102.3	1868.56	1903.76	2091.27	2302.57	1667.45	2237.47	2035.33	2038.28
DCA13_HUMAN	50245.4	49031.4	51922.8	45617.8	49802.2	46541	44366.3	51624.6	49156.4	46930.8	50405.7	49388.2	50949	51995.9	53535	48737.8	49187.7	53507.1	50196.3	49729.4	52646	51393	51975.2	53052.3	48760.3	47572.6	44655.9	51454.4	46471	48538.7
DCA16_HUMAN	11262.6	12315.9	9253.85	9643.8	9701.67	7334.42	9192.6	7476.87	10766.7	9598.92	7935.2	7626.68	9284.81	4673.65	7614.37	9065.53	10708.8	10330	10119.6	7958.78	9815.72	9975.37	7281.98	5619.81	9304.7	11210.9	9706.71	9041.05	10986.3	6509.13
DCAF1_HUMAN	14170.4	15800.5	15944.2	16902.6	14955	16757.3	16272.6	13803	14749.3	16531.9	13970	13757.2	17197.3	13491.7	16724.1	14322.3	17159.2	14514.5	17825.2	16425.5	13320.2	14789.5	14788.1	12881.5	16782.1	15805.5	15112.1	15477.3	16698	14907.9
DCAF5_HUMAN	35107.3	38395.5	35343.2	36661.7	37346.9	35472.9	35741.3	35807.8	33943.8	35402.1	32081.1	34926.9	36894.8	32866	35658.1	30554.7	37446.1	37937.2	38623.8	37280	37138.1	34928.1	34141.5	34144.3	36581.7	36903.9	31598.3	33177.7	33032.3	33060
DCAF7_HUMAN	63081.1	62622.7	61713.8	64372	64644.1	60023.3	61948.4	60725.6	61482.5	61159.4	58302	65252.8	59167.1	62590.1	64133.9	56679.8	67400.7	63136.5	64305.4	65408.8	63156.8	62063.6	61716.2	67733	61322.1	66470	61563.4	64144.3	57408	61638.2
DCAF8_HUMAN	10364.6	10627.2	9886.17	8794.74	10610.3	8685.74	11667.6	9626.99	9493.41	9653.91	7810.28	9434.76	11683.8	10313.7	9033.93	9220.78	10795.5	10911.4	11443.7	10855.7	10457.2	9645.58	9266.69	10644.6	11068.7	10799.7	10166.5	8421.9	9687.73	10973
DCAKD_HUMAN	8511.83	10810.5	11470	9533.1	9465.29	8362.88	8794.41	9286.65	10168.7	8563.12	8357.78	10928.3	9753.16	11535.2	10956.7	9395.86	10442	10215.3	9397.84	8766.82	11636.9	9034.61	8896.87	11984.3	11172.2	9759.41	9636.95	13188.5	9054.64	8660.67
DCC1_HUMAN	20787.6	21995.9	21268.4	21081.6	21436.6	23756.4	21092.8	23365.6	21591.1	20808.2	20645.7	21062.9	21049.8	22068.1	21741.6	23140	22640.7	22434.6	23633.9	23243.3	17877.6	23825.7	24275.2	22000.6	22222.2	23304.9	22635.4	23529.9	23499.8	22974.8
DCD_HUMAN	3011.48	9608.41	3076.93	NA	7551.18	3677.39	7820.54	4078.81	8209.9	4302.16	2805.95	2823.88	7257.53	4862.93	4229.92	2749.79	6039.05	7515.55	3612.39	3059.61	8581.98	4421.27	5772.59	9716.4	3664.8	2534.27	12262	4976.59	4040.1	2073.78
DCMC_HUMAN	2595.45	3034.32	2255.34	2783.3	2047.17	2244.3	2509.56	2531.1	2289.04	2609.3	2379.03	1628.88	2609.7	1936.32	2584.57	2417.06	2447.33	2519.94	2244.63	2773.99	2304.74	1891.54	2298.41	2197.92	1912.86	2039.61	1858.62	2046.89	2438.03	2065.99
DCNL1_HUMAN	10585	9348.11	9987.17	11042.2	10209.8	9501.08	12669.9	7812.4	8243.2	10901.7	8100.21	7279.19	10429.3	7206.77	9185.82	8726.18	10435.1	9714.18	10443.5	9205.49	9332.73	8290.4	8504.2	5962.29	9972.03	9396.95	8072.64	10559.9	7823.85	10473.6
DCNL4_HUMAN	15856.2	15847.1	17881.9	15412	16030.2	14440.9	16935.7	15656.5	16822.3	16709.5	18732.8	14137.2	16300.3	14528.1	15143.7	14297.5	15594.1	13902.5	16160.8	15892.9	12975	16457.6	14219.7	13165	16066.9	14745.5	15775.1	13332.6	13547.6	15508.6
DCNL5_HUMAN	31859	30037.1	31034.6	33836.5	31112.6	29911.7	29986.3	25144.1	28559.2	28520.4	30375.9	24708.3	32772	27220.9	29081.9	28565.9	29708.9	29513.1	30156.8	27518.4	23743.5	23771.5	25354.1	22303.1	33015.1	30655.8	27451.9	27656	27622.1	31552.1
DCP1A_HUMAN	31896.5	31557.7	29864.1	27158.9	30781.5	29737.1	31149.2	29240.9	29408.8	26764	29329.6	30841	31292	32741.9	32832.6	33701.9	37032.6	34925.4	36404.9	35079.2	33514.2	32933.5	31744.2	32382.5	36679.1	33016.3	34926.8	32950.8	31841.2	30958.1
DCP1B_HUMAN	11457.7	12964.1	10621.9	9828.58	13976.8	11156.2	11317.1	11807.1	10621.8	11537.3	12387.3	11497.9	14374.7	13977.7	14071.7	11502.4	13150.4	14288.9	14154.6	13522.1	11909.8	12129	14046.9	11170.5	15251.9	13005.4	10910.7	13169.6	11343.9	12955.5
DCP2_HUMAN	21765.1	20636.7	17767.1	18784.3	19169.1	22052.4	17350.5	20221.5	19190.5	19309	18314.4	20102.7	19569.9	19970.8	19469.3	18306.8	20893.3	19081.9	20193.3	20908.7	17824.4	18397.3	18610	16467.5	21154.8	21862.5	20261.4	19024.3	18816	21199.6
DCR1B_HUMAN	10084.7	12712.7	10027.8	11536.9	12621	10732.2	11776.5	8803.16	7710.99	8895.76	11893.3	7342.3	12566	13333	7887.36	13092.5	10496	10576.1	12721.4	11817.4	11900.1	11530.3	12156.6	9886.29	9676.37	11420.3	9957.21	9323.67	10197.5	12947.3
DCTN1_HUMAN	29608.2	31228.6	31466.7	29840.2	28921.2	29267.6	30958.5	31150.2	29803.3	30928.1	29800.8	29698.8	33079.3	29763.3	32246.7	29553.9	29781.8	30710.4	32297.9	31360.3	28345.5	30161.6	30553.8	29382.5	29840.8	31455.8	29279.2	31456.3	29095.4	29690.9
DCTN2_HUMAN	38351.1	34272	35684.9	34606.7	32043.6	31638.7	34329	33447.4	27764.1	29883.5	24492.8	27703	41159.8	34053.7	36090.6	34672.1	34044.9	31489.2	40014.9	31287.9	30214.5	27570.9	30235	30194.8	37438.4	42140.4	33179	33629.9	34374	30652.9
DCTN3_HUMAN	18279.8	20907.6	18523.3	16801	19024.4	20777.6	19676.7	19319.6	13661.6	15255.8	16990.3	16772.7	17593.5	21549.7	24952.4	20656.5	18232.1	19689.7	20631.9	16913.2	17118.8	15511.8	16431.1	16096.2	14337.8	23406.3	18368.6	18947.5	17480.1	19005.9
DCTN4_HUMAN	29617.5	26427.4	28401.7	24626.4	24491	23699.6	25873.9	25896.1	25112	26462.4	25531.8	25136.5	28803.2	27563.3	27472.9	25444.8	25299.1	27065.2	25746.5	27107.8	26492.8	25739.2	24375.5	28444.1	28373.3	25134.1	25427.8	26984.3	25056.8	25794.9
DCX_HUMAN	40043.8	35306.4	33248	41571.7	41778.5	39436.4	42537.5	35892.2	42133.8	38462.8	41032	45132.9	33309.4	37902.1	33217.8	49679.4	36929.5	36605	32958.8	36434.5	35993.3	39630.8	48936.2	36848.3	31232.6	38362.2	46433.8	41881.5	38227.6	39386.5
DD19A_HUMAN	22222.3	20733.1	22895.2	22163.1	19924.2	18708.2	22531.5	20823.9	20082.6	20855.3	23231.9	20165.5	24317.2	21942.8	21643.4	21779.3	21708.2	20287.9	20499.5	21782.9	17652.2	16821.1	19133.3	19211.7	23206.4	24679.9	19217	22037.5	22365.9	24974.7
DDA1_HUMAN	81350.7	82014.9	85267	50875.3	51261.5	51943.4	55343.8	37958.9	13305.9	27922.4	27549.8	32523	93853.3	90578.7	75443	29259	42043.9	42584.4	79996.1	33560.1	42894.2	33032.5	46223	36851.4	76239.9	98790	43403.2	65447.9	53089.1	29988.3
DDB1_HUMAN	191370	209717	194914	207525	204948	196675	205419	192788	205294	189944	187915	197305	211472	190119	201727	196406	200322	201072	214866	187288	204490	198389	204775	212272	187534	208144	194419	196744	191167	182860
DDB2_HUMAN	22674.1	21236.8	18765.5	22449.3	24676.6	22031.2	21630.6	20619.8	20545.8	18301.1	19633.6	21351.1	23590.2	24579.7	22623.6	24167.1	20631	20712.1	19553.2	17439.8	20629.5	22251.5	20617.4	22261.6	18109.7	22467	26781.4	23031.7	21893.2	20628.6
DDHD1_HUMAN	10864.2	9220.37	9791.86	9637.85	10549.5	9632.04	11680.4	10839.2	10746.6	9806.55	8838.91	11388	10209.4	11231.6	9229.78	8026.32	7799.05	10614.8	7912.3	7948.44	11582.3	9573.52	8897.26	8577.32	11747.4	10515.6	9042.32	9588.79	8113.66	8447.37
DDRGK_HUMAN	29185.5	32236	34124.7	31123.5	30499.1	30494.9	35774.1	31761.8	38104.1	32210.4	31264.6	37402.3	31246.1	35088.3	35442.1	35227.9	36158.4	37263.2	31885.8	36044	35665.6	36565.4	36028.7	38611.3	29750.4	30865.3	38501.4	38391.7	34679.4	36086.9
DDX10_HUMAN	65493.1	67331.7	68612.4	64266.9	65204.7	64009.1	66031.9	65233.5	68419.8	66707.7	71571.5	67869.6	64141.4	66088.9	65853.5	66368.9	61367.7	63329.7	65209	69603.7	64155.2	64907.8	64239.4	66587.6	67772.8	64920.5	66069.2	63404.1	69595.8	66631
DDX17_HUMAN	991426	989101	1093520	996472	1087960	998764	938388	995233	991129	1044670	1162340	1072650	1043510	1109450	1150570	1062600	950111	1066890	911330	1047550	1150550	1067030	1130650	1106950	1049680	888044	992026	1077250	1098100	1068190
DDX18_HUMAN	239636	234833	257452	236407	253460	244363	231245	229818	251097	244879	277255	254735	244251	260077	274511	262671	234593	251282	231561	258858	262644	260123	280072	266141	260554	217563	251858	261609	278145	271636
DDX1_HUMAN	349615	374629	386571	390061	403637	395297	381942	375368	375471	408192	420373	387869	391902	368486	384923	361255	403361	418374	372384	423017	392898	420963	416362	374674	382909	342057	375119	393465	400803	410013
DDX20_HUMAN	56265.6	60930.5	55591.8	54822.9	56286.5	59503.9	56486.4	59543	56760.5	58589.6	58356.4	57936.6	56224.8	55107.6	56037.9	57563.2	61530.9	59525.4	59284.3	63362.8	56945.6	61253.5	59587.3	57230.2	58220.9	56527.8	59296.7	55383.1	61018	58534.1
DDX21_HUMAN	696000	710531	750215	691810	706744	688990	655555	649516	717844	714866	788458	694218	706268	715786	755406	704987	623278	680692	653397	667750	780718	707208	748827	767326	711393	631976	629793	699574	724489	687378
DDX23_HUMAN	409862	417559	448127	427197	428604	411862	418449	412471	410501	444045	479553	423702	441795	450795	485488	438522	393369	425937	397125	401388	487354	450145	463061	477157	427635	391349	380638	428739	435121	434535
DDX24_HUMAN	163431	171394	177062	161662	167147	170421	167294	166216	168384	176530	186800	174961	161686	167063	171957	164166	159248	170677	158266	171537	168074	167395	177908	175154	167403	150984	153477	166479	166818	168966
DDX27_HUMAN	329909	346423	353485	338956	342375	342921	337490	334849	351634	343329	369870	367393	326865	355148	364187	346359	322284	351607	316857	345106	354351	345490	357239	359123	350750	309173	357709	363302	375444	350318
DDX28_HUMAN	12824.8	8707.12	10319.8	11101.3	10471.3	9858.27	9058.61	8970.31	11253.8	12271.7	15017.7	11081.3	10704.4	11245.5	13115.8	11226.7	12253	9717.98	10218.3	10424.3	13225.6	9902.97	11287.8	11425.3	12350.4	10558.4	8903.98	11905.7	8499.11	8055.85
DDX31_HUMAN	29372.8	30601.3	29144.6	28690.6	28571.2	27920.6	27953.4	25810.4	28937.3	28615.8	31954.2	27207.8	29409.1	29195.9	29330.2	28809.4	27039.1	29532.1	27719.8	30612.4	28310.1	28500.2	27696.8	27637.5	30527.3	26957.7	29309.9	28640.6	31227.3	31175.9
DDX3X_HUMAN	273218	286255	311758	276287	295871	282177	267804	272621	296185	278710	322867	308582	294367	315545	329678	308695	276400	316758	273151	318087	318492	309553	327598	315080	299901	261684	294130	320992	331708	303948
DDX41_HUMAN	83404.3	84965.6	87603.7	88800.6	91440.8	87687.6	84517.7	84506.9	84634.6	87573.5	88049.7	85942.2	89966.1	87545.5	85385.1	83883.8	89748.2	92498.4	85503.6	89430.5	87028.7	87594.4	93034.8	85835.6	86029.3	81669.4	83094.3	88076.3	87886.1	89204.7
DDX42_HUMAN	281431	288094	300673	306532	301081	299133	294296	271851	293809	306329	314040	270446	298579	284045	292186	309410	273987	285616	276806	287547	257129	284943	300841	259595	291373	275481	280566	275360	310066	293173
DDX46_HUMAN	300632	322747	331426	324925	333823	321466	319131	290728	308419	333034	338603	324135	337378	321652	355494	313044	311782	333249	312550	340933	350543	337355	348592	323656	334388	295686	317267	338967	342016	322263
DDX47_HUMAN	217732	223284	243312	232035	234602	227984	226346	223663	250748	241249	286360	246888	233940	255553	264138	263954	226385	240347	217191	254598	261474	255245	270046	263078	257406	215281	235473	255026	286876	271461
DDX49_HUMAN	64043.4	64709	67180.9	66168.5	65821.8	65115.5	64947.2	65371.1	69505.4	68053.5	71563.7	61616.9	60707.6	68121.9	69267.7	67520.5	65707.9	65633.5	64316.7	69966.2	59286.6	63849.2	68162.9	60681.3	70058.7	55658.3	62750.7	67207.3	73948	73759.2
DDX50_HUMAN	75254.6	75581.8	79620.8	72953.5	79557	77739.2	73697.5	75792.9	78225.6	80964.1	85858	78297.6	74473.1	80810.4	85516.3	78539.1	77013.7	85422.2	73614.5	79752.9	88410.4	83364.6	85803.5	83941.3	80825.5	73007.1	75014.1	84957.9	83524	80587.6
DDX51_HUMAN	42469.2	42350	39763.6	38852.3	36185.9	40605	41838.2	40795	41403.9	39509.3	41674.2	40255.9	35917.8	39938.1	39290.4	41495.6	39505.1	40559.7	38223.9	38714.1	40952.6	39718.2	38728.9	40580	38550.4	38785.9	38462.3	40295.1	42341.8	37900.2
DDX52_HUMAN	43543.3	44939.1	47273.8	44303.6	48232.3	46304.6	46004.2	44664.2	44642.8	48126.5	53700.1	49612.1	47817.2	54564	51700.9	50481.8	44309.2	51052.3	46675.8	49444.6	49309.6	48565.8	50845.4	51552.5	47903.8	42451	47238.6	52547.3	52493.4	47618.3
DDX54_HUMAN	90089.1	90332.1	98865.4	85760.5	86491.8	90769.5	85892.9	87897.7	94543.5	90960.7	99342.7	95041	85680	92911.4	96400.9	92667	92671.7	89597.8	83987.9	91607.1	91128.1	91767.8	93374.2	95955.5	93073.9	84853.2	88161.1	96155.9	97804.3	92996.7
DDX55_HUMAN	25592.8	27030.5	28146.8	25985.6	28850.3	27659.9	26326.7	26445.4	27533.8	26560.8	29271.2	27726.4	29620.9	29178.6	30130.7	28630.7	26567	28227.3	27265.7	27291.8	30441.4	27899.7	31638	28146.7	27182.6	25647	26953.4	30828.4	30127.5	27190.9
DDX56_HUMAN	95147.9	99789.2	98067.5	92793.7	88740.5	90014	92097.3	95382.6	95018.1	89820.4	100522	92411.3	93079.2	98663.4	95708.6	94178.5	87704.2	96021.1	95595.6	93392.5	88858.4	91208.6	90838.4	87194.8	92990.6	89573.1	88858.1	96660.4	97048.9	90085.2
DDX59_HUMAN	4048.07	4970.2	7146.81	5039.52	6638.76	4446.97	3017.25	6833.18	5411.04	6867.51	5978.49	5281.47	7776.84	4527.82	6305.53	5415.26	5798.79	6745.71	5309.6	5225.66	7211.14	7225.07	5052.03	6591.39	5432.03	6694.38	5775.42	7287.66	4644.97	5413.46
