Protein.Names	X240301_RH4_DMSO_01	X240301_RH4_DMSO_02	X240301_RH4_DMSO_03	X240301_RH4_DMSO_04	X240301_RH4_DMSO_05	X240301_RH4_DMSO_06	X240301_RH4_DMSO_07	X240301_RH4_DMSO_08	X240301_RH4_DMSO_09	X240301_RH4_DMSO_10	X240301_RH4_DMSO_11	X240301_RH4_DMSO_12	X240301_RH4_IHK44_100nM_01	X240301_RH4_IHK44_100nM_02	X240301_RH4_IHK44_100nM_03	X240301_RH4_IHK44_100nM_04	X240301_RH4_IHK44_100nM_05	X240301_RH4_IHK44_100nM_06	X240301_RH4_IHK44_125nM_01	X240301_RH4_IHK44_125nM_02	X240301_RH4_IHK44_125nM_03	X240301_RH4_IHK44_125nM_04	X240301_RH4_IHK44_125nM_05	X240301_RH4_IHK44_125nM_06	X240301_RH4_IHK44_150nM_01	X240301_RH4_IHK44_150nM_02	X240301_RH4_IHK44_150nM_03	X240301_RH4_IHK44_150nM_04	X240301_RH4_IHK44_150nM_05	X240301_RH4_IHK44_150nM_06
K2C1B_HUMAN	NA	25318.6	10386.7	NA	NA	NA	NA	14840.6	3039.6	NA	NA	NA	14664.1	23832.2	1759.59	NA	NA	27201.1	NA	NA	NA	NA	NA	5779.26	NA	NA	14444.5	NA	NA	NA
K2C6A_HUMAN	NA	42469.3	12593.2	15449	NA	NA	NA	NA	NA	NA	NA	NA	12971.6	14140.7	NA	NA	NA	27884.7	NA	NA	NA	NA	NA	16246.4	NA	NA	10380.3	65321.4	42017.5	15384
K2C6C_HUMAN	NA	35424.3	9306.9	NA	7770.11	NA	NA	11793.2	NA	NA	NA	NA	16695	13920.8	NA	NA	NA	13227	NA	NA	NA	NA	NA	NA	NA	NA	NA	59968.8	NA	NA
K2C71_HUMAN;K2C73_HUMAN	NA	31659.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65815.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K2C78_HUMAN	NA	6223.22	1812.86	NA	625.952	NA	NA	NA	NA	NA	NA	NA	1954.52	5739.24	NA	NA	NA	4055.8	NA	NA	NA	NA	NA	3646.42	NA	NA	1546.17	1296.39	NA	NA
KALRN_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KANK1_HUMAN	6604.8	7343.26	8611.32	NA	7718.59	6146.66	NA	NA	NA	NA	NA	NA	NA	8026	NA	NA	NA	8343.53	NA	7025.33	8503.47	8290.85	NA	7067.6	4023.34	5417.44	NA	NA	NA	NA
KAPCG_HUMAN	16647.7	16351	NA	NA	NA	NA	NA	NA	NA	13144.8	11994.5	NA	16324.3	14989.9	12359.5	NA	13085.5	11272.6	NA	NA	NA	NA	10373.2	7647.39	16187.2	NA	19014.4	11552	17338.8	NA
KPCE_HUMAN	6632.13	NA	5607.45	NA	NA	5947.85	NA	4361.75	NA	6664.16	NA	NA	NA	4075.87	NA	NA	NA	5492.95	NA	NA	NA	NA	NA	NA	5699.7	NA	NA	6200.85	NA	NA
KRT82_HUMAN	NA	4105.26	NA	NA	NA	NA	5072.14	NA	NA	4867.74	NA	NA	NA	3756.41	NA	NA	5003.72	3891.99	NA	NA	NA	NA	2664.12	4196.73	3561.83	NA	NA	NA	34294.1	NA
KRT85_HUMAN	NA	15658.9	18958.5	10638.5	17406.1	14264.2	12117.2	14496.9	17149.3	15851.1	NA	15457	NA	NA	NA	14322.1	15278.6	NA	14352.4	16335.9	NA	15364.8	NA	14871.2	19250.1	16422.8	NA	16830.9	17322.1	13365.7
LEG3_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9573.72	NA
